member_id,membership_status,membership_date,membership_plan,membership_fee,gender,age_group,state,referral_source
66,downgrade,2022-04-01,BASIC,53,Male,35-44,Lagos,Organic Search
67,new,2022-10-01,PRO,85,Male,55-65,Enugu,Organic Search
68,new,2020-09-01,MAX,99,Female,45-54,Enugu,Google Ads
68,downgrade,2022-04-01,BASIC,53,Female,45-54,Enugu,Google Ads
69,new,2022-02-01,PRO,85,Male,55-65,Lagos,Facebook
69,upgrade,2022-11-01,MAX,119,Male,55-65,Lagos,Facebook
70,new,2022-07-01,PRO,85,Female,45-54,Lagos,Google Ads
71,new,2021-02-01,PRO,75,Male,55-65,Portharcourt,Google Ads
71,downgrade,2021-08-01,BASIC,43,Male,55-65,Portharcourt,Google Ads
71,churn,2022-05-01,BASIC,53,Male,55-65,Portharcourt,Google Ads
72,new,2020-09-01,MAX,99,Male,18-24,Abuja,Facebook
72,downgrade,2022-02-01,BASIC,53,Male,18-24,Abuja,Facebook
73,new,2022-05-01,PRO,85,Female,45-54,Enugu,Facebook
74,new,2022-08-01,MAX,119,Male,18-24,Abuja,Google Ads
75,new,2021-07-01,BASIC,43,Male,18-24,Enugu,Facebook
76,new,2022-06-01,PRO,85,Male,25-34,Lagos,Google Ads
76,downgrade,2022-11-01,BASIC,53,Male,25-34,Lagos,Google Ads
77,new,2020-01-01,BASIC,33,Female,35-44,Lagos,Facebook
77,upgrade,2021-11-01,PRO,75,Female,35-44,Lagos,Facebook
78,new,2020-03-01,PRO,65,Male,45-54,Lagos,Google Ads
78,upgrade,2022-02-01,MAX,119,Male,45-54,Lagos,Google Ads
79,new,2022-07-01,PRO,85,Male,18-24,Lagos,Google Ads
80,new,2021-01-01,PRO,75,Female,18-24,Portharcourt,Organic Search
80,downgrade,2022-07-01,BASIC,53,Female,18-24,Portharcourt,Organic Search
81,new,2020-11-01,MAX,99,Female,45-54,Lagos,Unknown
81,downgrade,2022-01-01,PRO,85,Female,45-54,Lagos,Unknown
81,churn,2022-10-01,PRO,85,Female,45-54,Lagos,Unknown
82,new,2022-09-01,BASIC,53,Female,18-24,Lagos,Paid Search
83,new,2022-09-01,BASIC,53,Male,35-44,Enugu,Facebook
84,new,2020-09-01,MAX,99,Female,45-54,Abuja,Google Ads
84,downgrade,2020-10-01,PRO,65,Female,45-54,Abuja,Google Ads
85,new,2021-10-01,PRO,75,Male,55-65,Lagos,Organic Search
86,new,2022-04-01,PRO,85,Male,18-24,Enugu,Facebook
86,downgrade,2022-08-01,BASIC,53,Male,18-24,Enugu,Facebook
87,new,2020-01-01,MAX,99,Female,25-34,Lagos,Google Ads
87,downgrade,2020-06-01,BASIC,33,Female,25-34,Lagos,Google Ads
88,new,2022-06-01,BASIC,53,Male,25-34,Abuja,Facebook
89,new,2021-03-01,MAX,109,Other,55-65,Lagos,Display
89,downgrade,2021-05-01,BASIC,43,Other,55-65,Lagos,Display
90,new,2020-12-01,BASIC,33,Male,55-65,Lagos,Google Ads
90,churn,2021-04-01,BASIC,43,Male,55-65,Lagos,Google Ads
91,new,2020-10-01,MAX,99,Female,18-24,Lagos,Organic Search
91,downgrade,2021-09-01,BASIC,43,Female,18-24,Lagos,Organic Search
92,new,2022-09-01,PRO,85,Female,35-44,Lagos,Organic Search
93,new,2022-10-01,PRO,85,Male,55-65,Lagos,Google Ads
94,new,2022-11-01,PRO,85,Male,18-24,Portharcourt,Facebook
95,new,2020-11-01,BASIC,33,Male,45-54,Lagos,Google Ads
95,upgrade,2021-06-01,MAX,109,Male,45-54,Lagos,Google Ads
96,new,2021-05-01,MAX,109,Female,55-65,Enugu,Google Ads
96,downgrade,2022-10-01,PRO,85,Female,55-65,Enugu,Google Ads
97,new,2022-05-01,MAX,119,Female,45-54,Lagos,Google Ads
98,new,2022-01-01,BASIC,53,Male,18-24,Portharcourt,Google Ads
99,new,2022-06-01,MAX,119,Male,35-44,Lagos,Unknown
100,new,2022-08-01,BASIC,53,Male,25-34,Enugu,Paid Search
101,new,2021-12-01,BASIC,43,Female,45-54,Enugu,Google Ads
101,upgrade,2022-08-01,PRO,85,Female,45-54,Enugu,Google Ads
102,new,2022-12-01,PRO,85,Male,18-24,Lagos,Google Ads
103,new,2022-11-01,PRO,85,Male,55-65,Abuja,Facebook
104,new,2021-06-01,MAX,109,Male,18-24,Lagos,Google Ads
104,downgrade,2021-09-01,BASIC,43,Male,18-24,Lagos,Google Ads
104,churn,2022-08-01,BASIC,53,Male,18-24,Lagos,Google Ads
105,new,2020-09-01,PRO,65,Male,18-24,Portharcourt,Paid Search
105,upgrade,2022-07-01,MAX,119,Male,18-24,Portharcourt,Paid Search
106,new,2020-12-01,MAX,99,Male,55-65,Portharcourt,Display
106,downgrade,2021-08-01,PRO,75,Male,55-65,Portharcourt,Display
106,churn,2022-06-01,PRO,85,Male,55-65,Portharcourt,Display
107,new,2021-11-01,MAX,109,Female,55-65,Enugu,Facebook
107,downgrade,2022-07-01,PRO,85,Female,55-65,Enugu,Facebook
108,new,2020-11-01,BASIC,33,Female,45-54,Abuja,Unknown
108,upgrade,2022-11-01,PRO,85,Female,45-54,Abuja,Unknown
109,new,2020-04-01,PRO,65,Male,55-65,Abuja,Unknown
109,churn,2020-07-01,PRO,65,Male,55-65,Abuja,Unknown
110,new,2022-11-01,BASIC,53,Female,18-24,Enugu,Facebook
111,new,2020-01-01,PRO,65,Female,18-24,Portharcourt,Unknown
111,upgrade,2022-04-01,MAX,119,Female,18-24,Portharcourt,Unknown
111,churn,2022-08-01,MAX,119,Female,18-24,Portharcourt,Unknown
112,new,2021-06-01,BASIC,43,Female,25-34,Lagos,Paid Search
112,upgrade,2022-08-01,MAX,119,Female,25-34,Lagos,Paid Search
113,new,2021-10-01,MAX,109,Female,45-54,Abuja,Unknown
113,churn,2022-11-01,MAX,119,Female,45-54,Abuja,Unknown
114,new,2021-01-01,PRO,75,Male,55-65,Portharcourt,Facebook
114,downgrade,2022-08-01,BASIC,53,Male,55-65,Portharcourt,Facebook
115,new,2021-11-01,BASIC,43,Female,45-54,Abuja,Facebook
116,new,2020-07-01,PRO,65,Other,25-34,Lagos,Paid Search
116,downgrade,2021-03-01,BASIC,43,Other,25-34,Lagos,Paid Search
117,new,2021-11-01,PRO,75,Female,25-34,Abuja,Google Ads
117,upgrade,2022-06-01,MAX,119,Female,25-34,Abuja,Google Ads
117,churn,2022-07-01,PRO,85,Female,25-34,Abuja,Google Ads
118,new,2020-10-01,BASIC,33,Male,25-34,Portharcourt,Facebook
118,churn,2021-02-01,BASIC,43,Male,25-34,Portharcourt,Facebook
119,new,2022-01-01,BASIC,53,Female,55-65,Lagos,Google Ads
119,churn,2022-10-01,BASIC,53,Female,55-65,Lagos,Google Ads
120,new,2020-09-01,BASIC,33,Male,18-24,Lagos,Google Ads
120,churn,2021-03-01,BASIC,43,Male,18-24,Lagos,Google Ads
121,new,2020-10-01,PRO,65,Male,35-44,Abuja,Paid Search
121,downgrade,2021-09-01,BASIC,43,Male,35-44,Abuja,Paid Search
121,churn,2022-07-01,BASIC,53,Male,35-44,Abuja,Paid Search
122,new,2020-10-01,MAX,99,Female,25-34,Lagos,Google Ads
122,downgrade,2021-12-01,PRO,75,Female,25-34,Lagos,Google Ads
123,new,2020-10-01,BASIC,33,Male,55-65,Lagos,Paid Search
123,upgrade,2021-04-01,MAX,109,Male,55-65,Lagos,Paid Search
124,new,2020-03-01,MAX,99,Female,25-34,Portharcourt,Facebook
124,downgrade,2021-10-01,BASIC,43,Female,25-34,Portharcourt,Facebook
124,churn,2022-02-01,BASIC,53,Female,25-34,Portharcourt,Facebook
125,new,2021-01-01,PRO,75,Female,35-44,Abuja,Organic Search
125,upgrade,2022-08-01,MAX,119,Female,35-44,Abuja,Organic Search
126,new,2022-12-01,MAX,119,Female,35-44,Enugu,Google Ads
127,new,2020-07-01,MAX,99,Female,25-34,Portharcourt,Paid Search
127,downgrade,2022-02-01,BASIC,53,Female,25-34,Portharcourt,Paid Search
128,new,2021-09-01,BASIC,43,Female,35-44,Portharcourt,Google Ads
128,upgrade,2021-12-01,PRO,75,Female,35-44,Portharcourt,Google Ads
128,churn,2022-04-01,PRO,85,Female,35-44,Portharcourt,Google Ads
128,churn,2022-06-01,BASIC,53,Female,35-44,Portharcourt,Google Ads
129,new,2021-02-01,PRO,75,Male,25-34,Lagos,Paid Search
129,downgrade,2022-05-01,BASIC,53,Male,25-34,Lagos,Paid Search
130,new,2020-09-01,BASIC,33,Male,55-65,Enugu,Bing
130,churn,2021-02-01,BASIC,43,Male,55-65,Enugu,Bing
131,new,2022-09-01,BASIC,53,Female,45-54,Lagos,Organic Search
132,new,2020-04-01,BASIC,33,Male,55-65,Lagos,Unknown
132,upgrade,2021-12-01,PRO,75,Male,55-65,Lagos,Unknown
132,churn,2022-09-01,PRO,85,Male,55-65,Lagos,Unknown
133,new,2021-11-01,PRO,75,Male,45-54,Enugu,Google Ads
133,upgrade,2022-07-01,MAX,119,Male,45-54,Enugu,Google Ads
134,new,2022-02-01,BASIC,53,Female,25-34,Lagos,Paid Search
134,churn,2022-09-01,BASIC,53,Female,25-34,Lagos,Paid Search
135,new,2022-12-01,BASIC,53,Male,18-24,Enugu,Google Ads
136,new,2021-02-01,BASIC,43,Female,18-24,Enugu,Google Ads
136,churn,2021-12-01,BASIC,43,Female,18-24,Enugu,Google Ads
137,new,2021-05-01,MAX,109,Male,35-44,Enugu,Unknown
137,downgrade,2022-08-01,PRO,85,Male,35-44,Enugu,Unknown
138,new,2020-09-01,MAX,99,Male,25-34,Lagos,Google Ads
138,downgrade,2021-06-01,BASIC,43,Male,25-34,Lagos,Google Ads
139,new,2020-11-01,MAX,99,Female,35-44,Abuja,Google Ads
139,downgrade,2021-12-01,PRO,75,Female,35-44,Abuja,Google Ads
140,new,2021-11-01,PRO,75,Male,45-54,Lagos,Google Ads
141,new,2022-03-01,PRO,85,Male,45-54,Lagos,Facebook
141,downgrade,2022-07-01,BASIC,53,Male,45-54,Lagos,Facebook
142,new,2022-08-01,BASIC,53,Male,35-44,Abuja,Organic Search
143,new,2022-03-01,BASIC,53,Female,55-65,Enugu,Facebook
144,new,2022-07-01,MAX,119,Female,55-65,Enugu,Facebook
145,new,2021-07-01,PRO,75,Female,35-44,Lagos,Google Ads
145,upgrade,2022-11-01,MAX,119,Female,35-44,Lagos,Google Ads
146,new,2022-11-01,MAX,119,Male,55-65,Portharcourt,Facebook
147,new,2020-06-01,BASIC,33,Female,45-54,Abuja,Facebook
147,upgrade,2021-01-01,PRO,75,Female,45-54,Abuja,Facebook
147,churn,2021-03-01,BASIC,43,Female,45-54,Abuja,Facebook
148,new,2021-10-01,BASIC,43,Female,35-44,Enugu,Unknown
149,new,2020-11-01,PRO,65,Male,55-65,Lagos,Google Ads
149,downgrade,2021-01-01,BASIC,43,Male,55-65,Lagos,Google Ads
150,new,2020-08-01,PRO,65,Female,35-44,Portharcourt,Paid Search
150,churn,2021-05-01,PRO,75,Female,35-44,Portharcourt,Paid Search
151,new,2020-10-01,PRO,65,Male,18-24,Lagos,Display
151,churn,2021-01-01,PRO,75,Male,18-24,Lagos,Display
152,new,2020-01-01,PRO,65,Male,35-44,Lagos,Tv
152,churn,2020-04-01,PRO,65,Male,35-44,Lagos,Tv
153,new,2020-11-01,BASIC,33,Female,25-34,Enugu,Google Ads
153,upgrade,2022-01-01,MAX,119,Female,25-34,Enugu,Google Ads
154,new,2020-04-01,PRO,65,Female,35-44,Portharcourt,Organic Search
154,upgrade,2022-04-01,MAX,119,Female,35-44,Portharcourt,Organic Search
155,new,2021-10-01,BASIC,43,Male,18-24,Enugu,Bing
155,churn,2022-06-01,BASIC,53,Male,18-24,Enugu,Bing
156,new,2022-12-01,PRO,85,Male,25-34,Lagos,Facebook
157,new,2022-09-01,BASIC,53,Male,18-24,Lagos,Facebook
158,new,2021-02-01,BASIC,43,Male,25-34,Enugu,Facebook
158,churn,2021-06-01,BASIC,43,Male,25-34,Enugu,Facebook
159,new,2020-02-01,PRO,65,Female,35-44,Lagos,Unknown
159,upgrade,2021-07-01,MAX,109,Female,35-44,Lagos,Unknown
160,new,2021-06-01,MAX,109,Female,25-34,Abuja,Facebook
160,downgrade,2021-12-01,BASIC,43,Female,25-34,Abuja,Facebook
161,new,2020-09-01,PRO,65,Male,18-24,Enugu,Google Ads
161,downgrade,2021-09-01,BASIC,43,Male,18-24,Enugu,Google Ads
162,new,2022-07-01,MAX,119,Female,55-65,Portharcourt,Facebook
163,new,2020-03-01,BASIC,33,Male,35-44,Portharcourt,Unknown
163,upgrade,2020-08-01,MAX,99,Male,35-44,Portharcourt,Unknown
163,churn,2021-06-01,MAX,109,Male,35-44,Portharcourt,Unknown
164,new,2021-03-01,PRO,75,Female,55-65,Abuja,Google Ads
164,downgrade,2021-07-01,BASIC,43,Female,55-65,Abuja,Google Ads
164,churn,2022-01-01,BASIC,53,Female,55-65,Abuja,Google Ads
165,new,2021-11-01,BASIC,43,Male,18-24,Abuja,Paid Search
165,upgrade,2022-06-01,MAX,119,Male,18-24,Abuja,Paid Search
165,churn,2022-09-01,MAX,119,Male,18-24,Abuja,Paid Search
166,new,2022-01-01,PRO,85,Male,18-24,Portharcourt,Google Ads
167,new,2021-06-01,PRO,75,Female,18-24,Enugu,Tv
167,downgrade,2022-04-01,BASIC,53,Female,18-24,Enugu,Tv
168,new,2021-03-01,MAX,109,Other,25-34,Lagos,Paid Search
168,downgrade,2021-05-01,BASIC,43,Other,25-34,Lagos,Paid Search
169,new,2022-03-01,PRO,85,Female,45-54,Abuja,Google Ads
170,new,2022-06-01,PRO,85,Female,55-65,Abuja,Organic Search
171,new,2022-09-01,PRO,85,Female,25-34,Enugu,Facebook
172,new,2021-01-01,BASIC,43,Male,18-24,Lagos,Unknown
172,upgrade,2022-01-01,MAX,119,Male,18-24,Lagos,Unknown
172,churn,2022-02-01,BASIC,53,Male,18-24,Lagos,Unknown
173,new,2021-03-01,PRO,75,Male,18-24,Lagos,Display
173,downgrade,2022-08-01,BASIC,53,Male,18-24,Lagos,Display
174,new,2022-12-01,PRO,85,Female,55-65,Portharcourt,Organic Search
175,new,2020-04-01,MAX,99,Female,25-34,Lagos,Facebook
175,downgrade,2021-04-01,BASIC,43,Female,25-34,Lagos,Facebook
176,new,2022-05-01,PRO,85,Female,45-54,Lagos,Paid Search
176,churn,2022-08-01,PRO,85,Female,45-54,Lagos,Paid Search
177,new,2021-05-01,PRO,75,Male,55-65,Enugu,Facebook
177,downgrade,2021-12-01,BASIC,43,Male,55-65,Enugu,Facebook
177,churn,2022-10-01,BASIC,53,Male,55-65,Enugu,Facebook
178,new,2021-10-01,BASIC,43,Female,25-34,Lagos,Facebook
178,upgrade,2022-05-01,MAX,119,Female,25-34,Lagos,Facebook
179,new,2020-12-01,BASIC,33,Female,55-65,Lagos,Bing
180,new,2022-02-01,BASIC,53,Female,55-65,Lagos,Organic Search
181,new,2021-12-01,MAX,109,Female,25-34,Abuja,Google Ads
182,new,2022-04-01,PRO,85,Female,35-44,Abuja,Facebook
182,churn,2022-10-01,PRO,85,Female,35-44,Abuja,Facebook
183,new,2020-04-01,BASIC,33,Female,25-34,Enugu,Facebook
183,upgrade,2022-11-01,MAX,119,Female,25-34,Enugu,Facebook
184,new,2021-08-01,BASIC,43,Male,55-65,Abuja,Google Ads
184,upgrade,2022-11-01,PRO,85,Male,55-65,Abuja,Google Ads
185,new,2022-02-01,MAX,119,Female,45-54,Lagos,Google Ads
185,downgrade,2022-04-01,BASIC,53,Female,45-54,Lagos,Google Ads
186,new,2022-12-01,PRO,85,Male,55-65,Lagos,Bing
187,new,2021-07-01,PRO,75,Other,45-54,Abuja,Google Ads
187,upgrade,2022-05-01,MAX,119,Other,45-54,Abuja,Google Ads
187,churn,2022-09-01,MAX,119,Other,45-54,Abuja,Google Ads
188,new,2021-05-01,BASIC,43,Female,35-44,Abuja,Facebook
189,new,2020-12-01,BASIC,33,Female,18-24,Lagos,Google Ads
189,churn,2022-01-01,BASIC,53,Female,18-24,Lagos,Google Ads
190,new,2020-08-01,BASIC,33,Female,35-44,Lagos,Facebook
190,upgrade,2021-11-01,PRO,75,Female,35-44,Lagos,Facebook
191,new,2020-08-01,PRO,65,Male,35-44,Abuja,Paid Search
191,upgrade,2022-05-01,MAX,119,Male,35-44,Abuja,Paid Search
191,churn,2022-08-01,MAX,119,Male,35-44,Abuja,Paid Search
192,new,2021-10-01,MAX,109,Female,25-34,Lagos,Google Ads
193,new,2021-12-01,PRO,75,Male,25-34,Enugu,Google Ads
193,downgrade,2022-06-01,BASIC,53,Male,25-34,Enugu,Google Ads
194,new,2022-03-01,BASIC,53,Male,25-34,Portharcourt,Google Ads
195,new,2020-07-01,BASIC,33,Male,18-24,Lagos,Display
196,new,2020-01-01,PRO,65,Female,45-54,Abuja,Organic Search
196,churn,2021-02-01,PRO,75,Female,45-54,Abuja,Organic Search
197,new,2020-04-01,PRO,65,Male,55-65,Abuja,Tv
197,upgrade,2020-11-01,MAX,99,Male,55-65,Abuja,Tv
198,new,2020-12-01,MAX,99,Female,35-44,Abuja,Display
198,downgrade,2021-11-01,BASIC,43,Female,35-44,Abuja,Display
199,new,2022-09-01,MAX,119,Female,55-65,Lagos,Google Ads
199,downgrade,2022-10-01,PRO,85,Female,55-65,Lagos,Google Ads
200,new,2022-10-01,BASIC,53,Female,18-24,Lagos,Google Ads
201,new,2020-05-01,BASIC,33,Female,25-34,Enugu,Facebook
201,upgrade,2022-09-01,MAX,119,Female,25-34,Enugu,Facebook
202,new,2020-03-01,PRO,65,Male,55-65,Portharcourt,Tv
202,churn,2020-09-01,PRO,65,Male,55-65,Portharcourt,Tv
203,new,2020-01-01,BASIC,33,Other,25-34,Portharcourt,Facebook
203,upgrade,2020-07-01,MAX,99,Other,25-34,Portharcourt,Facebook
204,new,2021-10-01,BASIC,43,Female,45-54,Lagos,Facebook
205,new,2022-08-01,BASIC,53,Female,18-24,Lagos,Facebook
206,new,2020-02-01,PRO,65,Female,55-65,Portharcourt,Google Ads
206,upgrade,2020-11-01,MAX,99,Female,55-65,Portharcourt,Google Ads
206,churn,2021-03-01,MAX,109,Female,55-65,Portharcourt,Google Ads
207,new,2022-07-01,PRO,85,Male,25-34,Lagos,Google Ads
208,new,2020-02-01,MAX,99,Female,25-34,Enugu,Facebook
208,downgrade,2020-09-01,BASIC,33,Female,25-34,Enugu,Facebook
209,new,2020-07-01,MAX,99,Female,55-65,Lagos,Organic Search
209,downgrade,2022-03-01,PRO,85,Female,55-65,Lagos,Organic Search
210,new,2020-02-01,BASIC,33,Female,35-44,Abuja,Paid Search
210,upgrade,2021-02-01,MAX,109,Female,35-44,Abuja,Paid Search
210,churn,2021-08-01,MAX,109,Female,35-44,Abuja,Paid Search
211,new,2022-07-01,MAX,119,Female,35-44,Abuja,Facebook
212,new,2022-08-01,BASIC,53,Male,25-34,Abuja,Paid Search
213,new,2022-11-01,PRO,85,Female,45-54,Lagos,Google Ads
214,new,2021-07-01,PRO,75,Female,18-24,Portharcourt,Paid Search
215,new,2022-05-01,PRO,85,Female,25-34,Enugu,Google Ads
215,downgrade,2022-09-01,BASIC,53,Female,25-34,Enugu,Google Ads
216,new,2021-01-01,BASIC,43,Other,55-65,Lagos,Google Ads
216,upgrade,2022-07-01,MAX,119,Other,55-65,Lagos,Google Ads
217,new,2020-06-01,MAX,99,Female,18-24,Lagos,Paid Search
217,downgrade,2021-08-01,PRO,75,Female,18-24,Lagos,Paid Search
218,new,2022-03-01,PRO,85,Female,18-24,Portharcourt,Tv
218,churn,2022-11-01,PRO,85,Female,18-24,Portharcourt,Tv
219,new,2022-06-01,PRO,85,Male,18-24,Lagos,Organic Search
